old usage [kW],2546.217604
Guest Bedroom / Media Room [kW],1667.156232
AC [kW],1559.258393
Fridge [kW],1511.327937
Furnace [kW],1504.763354
Fridge (R) [kW],1288.796225
Dryer + egauge [kW],1210.608542
Home Office (R) [kW],940.8167922
Home office [kW],879.3411145
MBed + KBed outlets [kW],806.3895078
MBed KBed Lights &amp;  MasterBath  [kW],415.6835968
Dishwasher [kW],401.0428222
Living room &amp; Kitchen Lights [kW],353.5511673
First Floor lights [kW],277.7269728
Microwave (R) [kW],266.95741
Microwave [kW],260.3615606
First floor [kW],252.7692095
Cellar Lights [kW],193.3427594
Bath GFI (1st &amp; 2nd floor bath) [kW],140.5449261
Kitchen counter [kW],127.7867323
Garage outlets [kW],104.2276811
Utility Rm + Basement Bath [kW],89.44161898
Panel GFI (central vac) [kW],87.6936534
Dining room [kW],75.56506219
Dining room (R) [kW],73.33252164
Washer [kW],53.73589387
Tub Whirpool [kW],8.101923859
