Family_Rm ,149206.9154
WaterHeater ,76433.79779
WaterHeater1 ,54872.5799
Furnace ,50286.95253
Refrigerator ,39181.0459
Dryer ,37257.33933
Guest_Bdrm_SmkDet ,30949.87586
Front_Bdrm ,29443.16641
WaterHeater2 ,19998.78343
Basement ,18015.47708
Master_Bdrm ,13644.29254
Kit_Half-Bath_Foyer ,9106.321895
Dishwasher_Disposal ,7575.505175
Kit_SinkWall ,4831.82265
Washing_Machine ,4500.487009
Microwave ,4422.201626
Kit_StoveWall ,4000.971755
WaterHeater3 ,1685.751917
Garage_W ,355.2620831
Garage_E ,231.9532132
