0.34,2.29
0.37,1.76
0.38,1.24
0.39,1.84
0.4,2.22
0.41,2.14
0.43,1.59
0.44,1.69
0.45,1.88
0.47,1.7
0.48,1.92
0.49,1.62
0.5,1.63
0.51,1.04
0.52,1.53
0.53,1.8
0.54,1.29
0.55,1.3
0.56,1.83
0.57,2.2
0.58,1.9
0.59,1.24
0.6,2.66
0.61,0.93
0.62,1.42
0.63,1.62
0.64,1.19
0.65,1.45
0.66,0.85
0.67,0.98
0.68,0.71
0.69,0.88
0.7,0.98
0.71,1.0
0.72,0.96
0.73,1.29
0.74,1.13
0.75,1.05
0.76,1.21
0.77,1.06
0.78,1.12
0.79,1.13
0.8,0.95
0.81,1.04
0.82,0.5
0.83,1.29
0.84,1.77
0.85,1.07
0.86,1.3
0.87,1.03
0.88,0.9
0.89,0.64
0.9,1.0
0.91,1.62
0.92,1.21
0.93,1.65
0.95,1.6
